NAME                    VERSION      TYPE   
alpine-baselayout       3.7.0-r0     apk     
alpine-baselayout-data  3.7.0-r0     apk     
alpine-keys             2.5-r0       apk     
alpine-release          3.22.1-r0    apk     
apk-tools               2.14.9-r2    apk     
busybox                 1.37.0-r18   apk     
busybox-binsh           1.37.0-r18   apk     
ca-certificates-bundle  20250619-r0  apk     
haproxy                 3.2.3-r0     apk     
libapk2                 2.14.9-r2    apk     
libcrypto3              3.5.1-r0     apk     
libssl3                 3.5.1-r0     apk     
lua5.4-libs             5.4.7-r0     apk     
musl                    1.2.5-r10    apk     
musl-utils              1.2.5-r10    apk     
pcre2                   10.43-r1     apk     
scanelf                 1.3.8-r1     apk     
ssl_client              1.37.0-r18   apk     
zlib                    1.3.1-r2     apk     
